"cnty_fips","display_name","Value","theme_range"
12033,"""Escambia, (FL)""",165.2,"164.5 - 283.2 (641)"
12035,"""Flagler, (FL)""",143,"123.3 - 144.4 (644)"
12037,"""Franklin, (FL)""",123.7,"123.3 - 144.4 (644)"
12039,"""Gadsden, (FL)""",171.4,"164.5 - 283.2 (641)"
12041,"""Gilchrist, (FL)""",198.8,"164.5 - 283.2 (641)"
12043,"""Glades, (FL)""",161.2,"144.5 - 164.4 (639)"
12045,"""Gulf, (FL)""",171,"164.5 - 283.2 (641)"
12047,"""Hamilton, (FL)""",172.7,"164.5 - 283.2 (641)"
12049,"""Hardee, (FL)""",153.8,"144.5 - 164.4 (639)"
12051,"""Hendry, (FL)""",150.3,"144.5 - 164.4 (639)"
12053,"""Hernando, (FL)""",179.2,"164.5 - 283.2 (641)"
12055,"""Highlands, (FL)""",164.7,"164.5 - 283.2 (641)"
12057,"""Hillsborough, (FL)""",183,"164.5 - 283.2 (641)"
12059,"""Holmes, (FL)""",138.5,"123.3 - 144.4 (644)"
12061,"""Indian River, (FL)""",114.3,"91.8 - 123.2 (642)"
12063,"""Jackson, (FL)""",152.1,"144.5 - 164.4 (639)"
12065,"""Jefferson, (FL)""",175,"164.5 - 283.2 (641)"
12067,"""Lafayette, (FL)""",156.9,"144.5 - 164.4 (639)"
12069,"""Lake, (FL)""",148.4,"144.5 - 164.4 (639)"
12071,"""Lee, (FL)""",152.2,"144.5 - 164.4 (639)"
12073,"""Leon, (FL)""",156.8,"144.5 - 164.4 (639)"
12075,"""Levy, (FL)""",176.1,"164.5 - 283.2 (641)"
12077,"""Liberty, (FL)""",155.5,"144.5 - 164.4 (639)"
12079,"""Madison, (FL)""",131.6,"123.3 - 144.4 (644)"
12081,"""Manatee, (FL)""",143.1,"123.3 - 144.4 (644)"
12083,"""Marion, (FL)""",150.5,"144.5 - 164.4 (639)"
12085,"""Martin, (FL)""",131.3,"123.3 - 144.4 (644)"
12086,"""Miami-Dade, (FL)""",182.5,"164.5 - 283.2 (641)"
12087,"""Monroe, (FL)""",119.1,"91.8 - 123.2 (642)"
12089,"""Nassau, (FL)""",161.6,"144.5 - 164.4 (639)"
12091,"""Okaloosa, (FL)""",158,"144.5 - 164.4 (639)"
12093,"""Okeechobee, (FL)""",249.5,"164.5 - 283.2 (641)"
12095,"""Orange, (FL)""",163.7,"144.5 - 164.4 (639)"
12097,"""Osceola, (FL)""",187.2,"164.5 - 283.2 (641)"
12099,"""Palm Beach, (FL)""",140.1,"123.3 - 144.4 (644)"
12101,"""Pasco, (FL)""",188.5,"164.5 - 283.2 (641)"
12103,"""Pinellas, (FL)""",168.3,"164.5 - 283.2 (641)"
12105,"""Polk, (FL)""",188.7,"164.5 - 283.2 (641)"
12107,"""Putnam, (FL)""",194.7,"164.5 - 283.2 (641)"
12109,"""St. Johns, (FL)""",145,"144.5 - 164.4 (639)"
12111,"""St. Lucie, (FL)""",188.7,"164.5 - 283.2 (641)"
12113,"""Santa Rosa, (FL)""",172.4,"164.5 - 283.2 (641)"
12115,"""Sarasota, (FL)""",109.3,"91.8 - 123.2 (642)"
12117,"""Seminole, (FL)""",173.2,"164.5 - 283.2 (641)"
12119,"""Sumter, (FL)""",153.2,"144.5 - 164.4 (639)"
12121,"""Suwannee, (FL)""",159.8,"144.5 - 164.4 (639)"
12123,"""Taylor, (FL)""",150.6,"144.5 - 164.4 (639)"
12125,"""Union, (FL)""",197.4,"164.5 - 283.2 (641)"
12127,"""Volusia, (FL)""",144.9,"144.5 - 164.4 (639)"
12129,"""Wakulla, (FL)""",180.1,"164.5 - 283.2 (641)"
12131,"""Walton, (FL)""",148.4,"144.5 - 164.4 (639)"
12133,"""Washington, (FL)""",122.6,"91.8 - 123.2 (642)"
13001,"""Appling, (GA)""",130.5,"123.3 - 144.4 (644)"
