"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US34005","Burlington County, New Jersey","0.4344","0.0072"
"0500000US34027","Morris County, New Jersey","0.4579","0.0053"
"0500000US35039","Rio Arriba County, New Mexico","null","null"
"0500000US35047","San Miguel County, New Mexico","0.5035","0.0290"
"0500000US35057","Torrance County, New Mexico","0.4542","0.0279"
"0500000US35035","Otero County, New Mexico","0.4579","0.0266"
"0500000US35006","Cibola County, New Mexico","0.4496","0.0183"
"0500000US35019","Guadalupe County, New Mexico","0.4680","0.0405"
"0500000US35003","Catron County, New Mexico","0.3511","0.0479"
"0500000US35017","Grant County, New Mexico","0.4905","0.0392"
"0500000US35029","Luna County, New Mexico","0.4835","0.0220"
"0500000US35031","McKinley County, New Mexico","0.5172","0.0164"
"0500000US35055","Taos County, New Mexico","0.4874","0.0167"
"0500000US35007","Colfax County, New Mexico","0.4482","0.0201"
"0500000US35015","Eddy County, New Mexico","0.4269","0.0174"
"0500000US35033","Mora County, New Mexico","0.4806","0.0466"
"0500000US35037","Quay County, New Mexico","0.4598","0.0239"
"0500000US35027","Lincoln County, New Mexico","0.4789","0.0354"
"0500000US35025","Lea County, New Mexico","0.4402","0.0174"
"0500000US35049","Santa Fe County, New Mexico","0.4843","0.0086"
"0500000US35051","Sierra County, New Mexico","0.5345","0.0656"
"0500000US35053","Socorro County, New Mexico","0.4782","0.0293"
"0500000US35013","Do�a Ana County, New Mexico","0.4929","0.0113"
"0500000US36095","Schoharie County, New York","0.4227","0.0134"
"0500000US36067","Onondaga County, New York","0.4633","0.0063"
"0500000US36019","Clinton County, New York","0.4216","0.0110"
"0500000US36099","Seneca County, New York","0.4318","0.0203"
"0500000US36079","Putnam County, New York","0.4245","0.0161"
"0500000US36033","Franklin County, New York","0.4492","0.0154"
"0500000US36069","Ontario County, New York","0.4531","0.0142"
"0500000US36081","Queens County, New York","0.4515","0.0028"
"0500000US36101","Steuben County, New York","0.4516","0.0113"
"0500000US36041","Hamilton County, New York","0.3933","0.0238"
"0500000US36115","Washington County, New York","0.4166","0.0155"
"0500000US36013","Chautauqua County, New York","0.4470","0.0097"
"0500000US36047","Kings County, New York","0.5273","0.0030"
"0500000US36061","New York County, New York","0.5971","0.0039"
"0500000US36107","Tioga County, New York","0.4292","0.0150"
"0500000US36011","Cayuga County, New York","0.4267","0.0116"
"0500000US36073","Orleans County, New York","0.4141","0.0206"
"0500000US36091","Saratoga County, New York","0.4198","0.0092"
"0500000US36087","Rockland County, New York","0.4608","0.0066"
